First name,Last name,National Insurance number,In which tax year was the money purchase pension savings statement issued? (XXXX to XXXX),What is the total of the member’s pension input amounts for money purchase arrangements under the scheme for the tax year that the purchase pension savings statement was issued? (£)
Annette,Swift,AB657419C,2022 to 2023,426.38
Justine,Nitzsche,AB148408C,2022 to 2023,965.52
Demond,Reinger,AB758533C,2022 to 2023,286.92
Royce,Howe,AB804762C,2022 to 2023,501.61
Arlie,Schamberger,AB128862C,2022 to 2023,29.08
Jessica,Weber,AB870881C,2022 to 2023,837.93
Concepcion,Kuhn,AB733607C,2022 to 2023,562.33
Dorothy,Huel,AB371964C,2022 to 2023,353.66
Terry,Pagac,AB220601C,2022 to 2023,451.30
Forest,McKenzie,AB823196C,2022 to 2023,430.41
Cicero,Konopelski,AB708604C,2022 to 2023,226.42
Otis,Thompson,AB474169C,2022 to 2023,991.88
Alison,West,AB856449C,2022 to 2023,134.32
Cordia,O'Conner,AB918424C,2022 to 2023,476.04
Orland,Mueller,AB625184C,2022 to 2023,819.25
Jadyn,Bailey,AB519077C,2022 to 2023,877.40
Richard,Schumm,AB366719C,2022 to 2023,595.27
Jaren,Witting,AB171100C,2022 to 2023,22.94
Kody,Williamson,AB229831C,2022 to 2023,352.59
Keaton,Keeling,AB341151C,2022 to 2023,568.86
Ali,Connelly,AB511040C,2022 to 2023,10.42
Stone,Hane,AB415997C,2022 to 2023,235.43
Cara,Gutkowski,AB144385C,2022 to 2023,354.06
Zora,Kshlerin,AB997145C,2022 to 2023,724.22
Barney,Lind,AB900797C,2022 to 2023,512.52
Alysa,Daugherty,AB250468C,2022 to 2023,320.36
Jeffery,Mraz,AB899562C,2022 to 2023,197.34
Willy,Ullrich,AB634825C,2022 to 2023,568.34
Michael,Jones,AB542094C,2022 to 2023,810.63
Chase,Abshire,AB137150C,2022 to 2023,433.45
Branson,Cole,AB572544C,2022 to 2023,417.67
Jillian,Satterfield,AB936280C,2022 to 2023,121.80
Harley,Hackett,AB796826C,2022 to 2023,192.61
Emilia,Lehner,AB685360C,2022 to 2023,693.29
Katlyn,Langworth,AB815495C,2022 to 2023,180.53
Cale,Schowalter,AB601460C,2022 to 2023,449.07
Gail,Bradtke,AB429150C,2022 to 2023,46.78
Marcelle,Hettinger,AB291444C,2022 to 2023,558.89
Jeanie,Mitchell,AB595696C,2022 to 2023,477.40
Janae,Moore,AB332689C,2022 to 2023,580.60
Carmella,Mohr,AB191145C,2022 to 2023,270.42
Ike,Stanton,AB284024C,2022 to 2023,961.77
Diamond,Jewess,AB569465C,2022 to 2023,276.34
Vicente,Renner,AB611081C,2022 to 2023,588.24
Herbert,Jast,AB671541C,2022 to 2023,712.89
Richie,Leuschke,AB576653C,2022 to 2023,579.77
Rudy,Cronin,AB441621C,2022 to 2023,914.06
Ronny,Stokes,AB205173C,2022 to 2023,693.69
Matteo,Robel,AB535862C,2022 to 2023,770.13
Domenick,Ondricka,AB302176C,2022 to 2023,687.42
Camron,Howell,AB841895C,2022 to 2023,109.90
Jakob,Miller,AB973012C,2022 to 2023,880.73
Kaela,Murazik,AB178210C,2022 to 2023,148.96
Burley,Skiles,AB369738C,2022 to 2023,729.78
Alize,Rowe,AB995776C,2022 to 2023,47.57
Peter,Champlin,AB731843C,2022 to 2023,889.06
Hester,Hilpert,AB895076C,2022 to 2023,376.20
Bret,Cassin,AB113647C,2022 to 2023,118.68
Damaris,Murray,AB656381C,2022 to 2023,257.53
Tia,Casper,AB468012C,2022 to 2023,9.66
Jazmyn,Treutel,AB300977C,2022 to 2023,211.20
Diego,Abbott,AB570803C,2022 to 2023,690.67
Loyal,Yost,AB729248C,2022 to 2023,963.39
Helena,Casper,AB154957C,2022 to 2023,721.90
Jose,Muller,AB585728C,2022 to 2023,700.67
Fletcher,Wolff,AB209677C,2022 to 2023,975.80
Shawna,Ernser,AB632740C,2022 to 2023,285.87
Roxanne,Pacocha,AB840060C,2022 to 2023,669.75
Nickolas,Rempel,AB519990C,2022 to 2023,354.75
Moises,Stracke,AB921711C,2022 to 2023,626.92
Augustus,Torphy,AB622071C,2022 to 2023,967.56
Dovie,Nienow,AB494541C,2022 to 2023,661.80
Rogers,Hintz,AB855508C,2022 to 2023,960.29
Dennis,Bernhard,AB757452C,2022 to 2023,195.78
Katarina,Predovic,AB733117C,2022 to 2023,575.60
Ozella,Reinger,AB852211C,2022 to 2023,554.66
Bertrand,Huels,AB619547C,2022 to 2023,238.75
Jairo,Wolff,AB516553C,2022 to 2023,173.27
Nola,Bruen,AB853133C,2022 to 2023,353.56
Cassie,Stracke,AB616008C,2022 to 2023,575.77
Doyle,Reichert,AB135353C,2022 to 2023,878.59
Lia,Kerluke,AB642304C,2022 to 2023,304.97
Ramona,Greenfelder,AB934843C,2022 to 2023,1.22
Murray,Swaniawski,AB721918C,2022 to 2023,394.37
Arden,Christiansen,AB883646C,2022 to 2023,694.65
Arne,Beatty,AB567831C,2022 to 2023,303.29
Yvette,Rohan,AB720796C,2022 to 2023,734.54
Santos,McClure,AB397267C,2022 to 2023,565.20
Lyda,Lindgren,AB375000C,2022 to 2023,506.69
Elvis,Erdman,AB123128C,2022 to 2023,649.39
Magnolia,Kuhic,AB735431C,2022 to 2023,534.03
Rosina,Bradtke,AB309404C,2022 to 2023,299.24
Kendall,Muller,AB243253C,2022 to 2023,761.26
Foster,Pfannerstill,AB688951C,2022 to 2023,227.58
Gregg,Fay,AB377977C,2022 to 2023,759.34
Tavares,Rempel,AB335236C,2022 to 2023,599.71
Consuelo,Medhurst,AB621992C,2022 to 2023,262.10
Alyce,Thompson,AB960239C,2022 to 2023,792.85
Isom,Lemke,AB903764C,2022 to 2023,890.52
Jakob,Considine,AB857374C,2022 to 2023,901.16
Karine,Prosacco,AB160323C,2022 to 2023,783.32
Bennett,Satterfield,AB294454C,2022 to 2023,532.03
Brooks,Collier,AB237731C,2022 to 2023,821.87
Hellen,Reichel,AB280650C,2022 to 2023,59.90
Marvin,Watsica,AB724077C,2022 to 2023,28.06
Patricia,Jones,AB753954C,2022 to 2023,62.47
Coralie,Weimann,AB242661C,2022 to 2023,173.91
Eleonore,Waelchi,AB298054C,2022 to 2023,224.95
Dana,Wolf,AB957819C,2022 to 2023,789.34
Carmella,Littel,AB436163C,2022 to 2023,180.83
Matilda,King,AB528803C,2022 to 2023,307.09
Saige,Green,AB589384C,2022 to 2023,890.28
Lauretta,Gleichner,AB747552C,2022 to 2023,684.33
Colin,Aufderhar,AB631329C,2022 to 2023,662.33
Rosalind,Kub,AB751427C,2022 to 2023,242.81
Easton,Grady,AB635992C,2022 to 2023,179.83
Meda,Terry,AB955105C,2022 to 2023,201.79
Holly,Feeney,AB313764C,2022 to 2023,280.23
Amelia,Satterfield,AB195300C,2022 to 2023,430.56
Sonia,Harber,AB504031C,2022 to 2023,59.44
Jammie,Murphy,AB872936C,2022 to 2023,46.88
Carole,Braun,AB247394C,2022 to 2023,858.73
Laury,Paucek,AB970574C,2022 to 2023,326.15
Kaela,Champlin,AB825797C,2022 to 2023,666.51
Alanis,Kling,AB901795C,2022 to 2023,362.63
Jana,Simonis,AB738849C,2022 to 2023,89.49
Mona,West,AB701983C,2022 to 2023,800.37
Joanie,Monahan,AB453347C,2022 to 2023,66.45
Lillian,Adams,AB993470C,2022 to 2023,306.98
Lizeth,Gutkowski,AB547019C,2022 to 2023,160.15
Werner,Cruickshank,AB562640C,2022 to 2023,583.02
King,Bins,AB340314C,2022 to 2023,474.03
Moriah,Murphy,AB513138C,2022 to 2023,995.70
Meda,Casper,AB749160C,2022 to 2023,571.09
Cesar,Cronin,AB515343C,2022 to 2023,493.16
Rhianna,Reichel,AB659034C,2022 to 2023,620.05
Nikolas,Padberg,AB160427C,2022 to 2023,749.40
Lonzo,Schaden,AB989042C,2022 to 2023,958.07
Efren,Huel,AB737463C,2022 to 2023,831.27
Destiny,Schaden,AB901903C,2022 to 2023,817.70
Marty,Treutel,AB956073C,2022 to 2023,817.94
Cade,Rolfson,AB164480C,2022 to 2023,813.24
Meghan,Gulgowski,AB402649C,2022 to 2023,47.90
Lance,Mraz,AB991504C,2022 to 2023,740.16
Clark,Beer,AB815358C,2022 to 2023,519.61
Ryder,Graham,AB348420C,2022 to 2023,949.93
Rosetta,Miller,AB801944C,2022 to 2023,424.35
Loren,Tremblay,AB245924C,2022 to 2023,663.66
Stan,Greenholt,AB654278C,2022 to 2023,304.84
Guy,Streich,AB834283C,2022 to 2023,320.21
Gennaro,Parker,AB672251C,2022 to 2023,144.51
Reagan,D'Amore,AB925713C,2022 to 2023,550.40
Abe,Robel,AB432369C,2022 to 2023,506.48
Gennaro,Greenholt,AB960553C,2022 to 2023,934.27
Arnold,Raynor,AB280494C,2022 to 2023,511.52
Tyson,Armstrong,AB656677C,2022 to 2023,165.72
Shawna,Bailey,AB664823C,2022 to 2023,377.45
Allie,Kemmer,AB421721C,2022 to 2023,352.53
Lessie,Hoppe,AB431391C,2022 to 2023,584.92
Johnson,Greenfelder,AB885993C,2022 to 2023,777.57
Salvador,Larkin,AB302392C,2022 to 2023,200.54
Efren,Block,AB318479C,2022 to 2023,176.08
Jade,Gleichner,AB868117C,2022 to 2023,923.66
Emmie,Emard,AB234513C,2022 to 2023,973.75
Maureen,Bartell,AB899762C,2022 to 2023,975.90
Hulda,Kassulke,AB449982C,2022 to 2023,518.81
Moshe,Hirthe,AB811211C,2022 to 2023,117.14
Misty,Smitham,AB670802C,2022 to 2023,459.58
Peggie,Prosacco,AB984824C,2022 to 2023,89.14
Jasmin,Leffler,AB195695C,2022 to 2023,524.24
Maxie,Vandervort,AB409033C,2022 to 2023,942.89
Kameron,Larson,AB242914C,2022 to 2023,167.71
Mona,Schmitt,AB498391C,2022 to 2023,204.08
Freeda,Wisoky,AB465256C,2022 to 2023,617.86
Katelin,Spinka,AB147060C,2022 to 2023,770.21
Rita,Hahn,AB439255C,2022 to 2023,868.48
Dennis,Jacobi,AB953939C,2022 to 2023,137.11
Liana,Wisoky,AB631706C,2022 to 2023,306.36
Sofia,Klocko,AB530690C,2022 to 2023,824.42
Misael,Douglas,AB676976C,2022 to 2023,467.77
Demetris,Wolf,AB880480C,2022 to 2023,910.13
Nayeli,Pagac,AB523025C,2022 to 2023,313.09
Erica,Stark,AB244977C,2022 to 2023,201.64
Gunnar,Lang,AB217374C,2022 to 2023,150.51
Assunta,Jakubowski,AB115474C,2022 to 2023,436.49
Eliezer,Tremblay,AB446351C,2022 to 2023,905.95
Rory,Beatty,AB220295C,2022 to 2023,152.25
Amiya,Sipes,AB586492C,2022 to 2023,330.40
Anastacio,Mayer,AB858008C,2022 to 2023,976.86
Jerel,Littel,AB390083C,2022 to 2023,579.92
Joshua,Donnelly,AB591118C,2022 to 2023,983.76
Baylee,Nader,AB459122C,2022 to 2023,835.26
Kavon,Skiles,AB778332C,2022 to 2023,947.06
Lyda,Borer,AB270938C,2022 to 2023,820.54
Richmond,Ledner,AB827538C,2022 to 2023,390.02
Cade,Reynolds,AB735425C,2022 to 2023,726.45
Shawn,McDermott,AB708367C,2022 to 2023,780.68
Cristina,Hane,AB948369C,2022 to 2023,288.52
Trycia,Ferry,AB734281C,2022 to 2023,221.55
Marcia,Cole,AB350504C,2022 to 2023,878.42
Alberta,Cassin,AB254811C,2022 to 2023,990.58
Lora,Maggio,AB697361C,2022 to 2023,393.60
Kelsie,Nicolas,AB308987C,2022 to 2023,456.31
Gerardo,Witting,AB432184C,2022 to 2023,583.97
Dario,Kilback,AB945517C,2022 to 2023,285.09
Steve,Nitzsche,AB663503C,2022 to 2023,581.87
Terrance,Boyer,AB711644C,2022 to 2023,470.25
Suzanne,Block,AB519716C,2022 to 2023,281.07
Karson,Hamill,AB531206C,2022 to 2023,344.23
Camila,Thiel,AB599149C,2022 to 2023,322.56
Madalyn,Schimmel,AB653410C,2022 to 2023,906.72
Madisyn,Kuhic,AB270938C,2022 to 2023,966.63
Alvis,Maggio,AB545463C,2022 to 2023,238.59
Leta,Towne,AB345581C,2022 to 2023,280.69
Rory,Labadie,AB691478C,2022 to 2023,867.43
Delores,Rath,AB372618C,2022 to 2023,28.74
Xavier,Rodriguez,AB259488C,2022 to 2023,181.96
Dortha,Hilll,AB363718C,2022 to 2023,184.61
Lea,Strosin,AB415400C,2022 to 2023,172.85
Julian,Anderson,AB400970C,2022 to 2023,614.17
Baylee,Harber,AB861207C,2022 to 2023,431.55
Althea,Rutherford,AB936431C,2022 to 2023,602.12
Jody,Schneider,AB470775C,2022 to 2023,92.08
Colton,Hyatt,AB856267C,2022 to 2023,163.00
Maximillia,Koch,AB983775C,2022 to 2023,761.25
Leila,Runolfsson,AB848486C,2022 to 2023,326.21
Winifred,Swift,AB251277C,2022 to 2023,834.54
Jaleel,Moore,AB944553C,2022 to 2023,585.57
Elizabeth,Kozey,AB151482C,2022 to 2023,25.53
Edna,Wiegand,AB134884C,2022 to 2023,418.72
Emmie,Cummerata,AB406078C,2022 to 2023,657.00
Jeffery,Gerhold,AB529242C,2022 to 2023,780.39
Delpha,Okuneva,AB428090C,2022 to 2023,742.02
Elwyn,Stark,AB177021C,2022 to 2023,559.66
Zion,O'Keefe,AB353733C,2022 to 2023,389.16
Alaina,Williamson,AB107388C,2022 to 2023,497.96
Jermey,Hintz,AB606153C,2022 to 2023,187.63
Rebekah,Grant,AB533742C,2022 to 2023,968.06
Junius,Schaden,AB608571C,2022 to 2023,422.85
Enid,Kuhlman,AB221794C,2022 to 2023,584.55
Dorthy,Tremblay,AB178931C,2022 to 2023,953.34
Aimee,Wiza,AB849666C,2022 to 2023,749.64
Roberto,Wintheiser,AB486141C,2022 to 2023,97.67
Elijah,Kohler,AB895619C,2022 to 2023,499.22
Mya,Kunze,AB892933C,2022 to 2023,234.84
Giovani,Torp,AB864276C,2022 to 2023,329.35
Rosie,D'Amore,AB827390C,2022 to 2023,596.19
Aniya,Kunze,AB936222C,2022 to 2023,704.76
Tavares,Mertz,AB856671C,2022 to 2023,867.30
Herminia,Erdman,AB283746C,2022 to 2023,21.20
Nicholaus,Welch,AB681524C,2022 to 2023,935.94
Owen,Wyman,AB999237C,2022 to 2023,525.00
Tiara,Graham,AB629177C,2022 to 2023,419.34
Joelle,Kirlin,AB618305C,2022 to 2023,764.73
Reilly,Gulgowski,AB717280C,2022 to 2023,805.19
Eric,Hyatt,AB616407C,2022 to 2023,542.34
Jonathan,Torp,AB590837C,2022 to 2023,820.11
Keon,Hermann,AB477319C,2022 to 2023,667.04
Madonna,Cartwright,AB587204C,2022 to 2023,131.26
Maryam,Greenholt,AB576934C,2022 to 2023,90.73
Hans,Langworth,AB282595C,2022 to 2023,335.07
Hubert,Greenfelder,AB525525C,2022 to 2023,115.57
Arnulfo,Blanda,AB737263C,2022 to 2023,801.64
Jamil,Wyman,AB296082C,2022 to 2023,9.89
Felton,Welch,AB586776C,2022 to 2023,372.36
Roderick,Will,AB316718C,2022 to 2023,538.18
Maxie,McCullough,AB691991C,2022 to 2023,986.47
Mariah,Rodriguez,AB330888C,2022 to 2023,753.32
Pearlie,Cassin,AB514753C,2022 to 2023,251.34
Elta,Hartmann,AB413312C,2022 to 2023,914.47
Berry,Schaden,AB767319C,2022 to 2023,540.37
Zula,McDermott,AB468562C,2022 to 2023,374.62
Emilio,Ankunding,AB684847C,2022 to 2023,702.49
Gavin,Harber,AB402712C,2022 to 2023,450.46
Joyce,Romaguera,AB287448C,2022 to 2023,279.63
Darian,Larkin,AB305488C,2022 to 2023,169.63
Natalia,Franecki,AB285028C,2022 to 2023,996.12
Elvera,Balistreri,AB749814C,2022 to 2023,418.17
Sibyl,Mohr,AB836734C,2022 to 2023,998.20
Tanya,Stoltenberg,AB128928C,2022 to 2023,742.07
Johann,Feeney,AB543194C,2022 to 2023,908.72
Eliane,Casper,AB917583C,2022 to 2023,217.60
Thurman,Beier,AB391792C,2022 to 2023,616.72
Ivah,Hyatt,AB623599C,2022 to 2023,201.22
Elyssa,Sauer,AB728578C,2022 to 2023,383.34
Fleta,Howell,AB497082C,2022 to 2023,181.69
Dolly,Bashirian,AB366781C,2022 to 2023,727.10
Millie,Hackett,AB796163C,2022 to 2023,257.57
Karley,Swaniawski,AB392075C,2022 to 2023,993.46
Kiarra,Boyer,AB128444C,2022 to 2023,499.83
Cortney,Hoppe,AB121477C,2022 to 2023,913.51
Cecilia,Oberbrunner,AB766640C,2022 to 2023,699.57
Gust,Kub,AB183785C,2022 to 2023,75.88
Lee,Crooks,AB336540C,2022 to 2023,168.38
Nicolette,Jewess,AB914473C,2022 to 2023,741.88
Ara,Bauch,AB296710C,2022 to 2023,366.73
Cesar,Hauck,AB719389C,2022 to 2023,950.86
Mona,Armstrong,AB908446C,2022 to 2023,494.79
Tressa,Wiza,AB936370C,2022 to 2023,233.65
Urban,Koelpin,AB288501C,2022 to 2023,955.82
Haven,Schmeler,AB454350C,2022 to 2023,425.08
Otis,Okuneva,AB784404C,2022 to 2023,486.92
Demarco,Franecki,AB909532C,2022 to 2023,476.01
Hallie,Daugherty,AB642877C,2022 to 2023,193.67
Duane,Renner,AB492776C,2022 to 2023,860.96
Joanne,Lueilwitz,AB582024C,2022 to 2023,240.49
Gregorio,Adams,AB366914C,2022 to 2023,60.48
Bessie,Olson,AB302444C,2022 to 2023,950.10
Marcia,Rau,AB671106C,2022 to 2023,267.67
Jeffery,Kertzmann,AB900066C,2022 to 2023,574.17
Michele,Jakubowski,AB625642C,2022 to 2023,616.61
Domenick,Parker,AB104731C,2022 to 2023,359.33
Lisette,Rau,AB595194C,2022 to 2023,646.16
Frankie,Baumbach,AB966619C,2022 to 2023,583.39
Garth,Jerde,AB969387C,2022 to 2023,36.83
Catharine,Murazik,AB870192C,2022 to 2023,806.16
Garrick,Treutel,AB300606C,2022 to 2023,702.63
Dulce,Trantow,AB476479C,2022 to 2023,869.47
Josefa,Douglas,AB293840C,2022 to 2023,105.14
Idella,Connelly,AB831822C,2022 to 2023,229.98
Michael,Ryan,AB844999C,2022 to 2023,551.73
Davonte,Hilll,AB252417C,2022 to 2023,453.92
Eden,Heller,AB934872C,2022 to 2023,143.07
Issac,Schulist,AB435871C,2022 to 2023,6.14
Reba,Gottlieb,AB690181C,2022 to 2023,859.81
Emmett,Douglas,AB518627C,2022 to 2023,750.65
Marianne,Morissette,AB529817C,2022 to 2023,545.24
Hellen,Jaskolski,AB137215C,2022 to 2023,690.30
Nora,VonRueden,AB956252C,2022 to 2023,856.61
Lincoln,Greenholt,AB690847C,2022 to 2023,705.57
Trenton,Considine,AB996008C,2022 to 2023,694.55
Antoinette,Shields,AB513459C,2022 to 2023,8.81
Waylon,Mraz,AB915465C,2022 to 2023,482.99
Dock,McCullough,AB307358C,2022 to 2023,610.86
Blair,King,AB833602C,2022 to 2023,774.75
Katelyn,Wunsch,AB512738C,2022 to 2023,67.15
Abbigail,Okuneva,AB977673C,2022 to 2023,334.33
Cory,Zemlak,AB681660C,2022 to 2023,180.76
Emil,Boehm,AB340843C,2022 to 2023,522.52
Tania,Cassin,AB348351C,2022 to 2023,700.76
Gloria,McCullough,AB613969C,2022 to 2023,288.84
Ervin,Kovacek,AB564845C,2022 to 2023,947.41
Nathaniel,Kovacek,AB799738C,2022 to 2023,24.25
Zane,Donnelly,AB902911C,2022 to 2023,409.75
Ally,Goldner,AB680521C,2022 to 2023,513.75
Hailie,Padberg,AB599840C,2022 to 2023,331.02
Rosendo,Lakin,AB751397C,2022 to 2023,147.76
Paul,Bailey,AB755187C,2022 to 2023,732.68
Elvie,Ortiz,AB955478C,2022 to 2023,771.63
Xavier,Wolff,AB590580C,2022 to 2023,637.25
Oceane,Jacobs,AB131387C,2022 to 2023,902.78
Devante,Bartell,AB954216C,2022 to 2023,982.30
Darren,Prosacco,AB450517C,2022 to 2023,303.29
Camren,Hansen,AB970603C,2022 to 2023,237.53
Ray,Beahan,AB186944C,2022 to 2023,495.95
Haylee,Lebsack,AB419926C,2022 to 2023,666.04
Kyla,Effertz,AB557263C,2022 to 2023,196.88
Kavon,Romaguera,AB741140C,2022 to 2023,854.78
Harmony,Littel,AB690081C,2022 to 2023,939.89
Mason,Williamson,AB447027C,2022 to 2023,569.65
Jett,Reichel,AB799995C,2022 to 2023,303.90
Loyal,Kuhn,AB581487C,2022 to 2023,251.01
Beatrice,Pfannerstill,AB835862C,2022 to 2023,83.77
Alexandre,Runolfsson,AB791154C,2022 to 2023,870.28
Cesar,McDermott,AB306062C,2022 to 2023,368.58
Natasha,Moen,AB484977C,2022 to 2023,628.56
Kiera,White,AB728028C,2022 to 2023,667.72
Eleazar,Cremin,AB567164C,2022 to 2023,391.20
Serena,Kirlin,AB832973C,2022 to 2023,74.18
Mable,Abernathy,AB413794C,2022 to 2023,617.36
Noe,Weimann,AB591664C,2022 to 2023,268.74
Walton,Rutherford,AB631088C,2022 to 2023,892.39
Jaylon,Glover,AB562510C,2022 to 2023,647.76
Princess,Murazik,AB801674C,2022 to 2023,390.11
Fern,Rau,AB799399C,2022 to 2023,990.57
Lurline,White,AB962868C,2022 to 2023,460.93
Jeromy,Harris,AB989005C,2022 to 2023,589.97
Eden,Kunze,AB632392C,2022 to 2023,956.45
Melvin,O'Kon,AB996042C,2022 to 2023,689.95
Hobart,Goyette,AB170761C,2022 to 2023,148.40
Augusta,Collins,AB668041C,2022 to 2023,505.58
Albin,Renner,AB344780C,2022 to 2023,694.94
Ebba,Kling,AB399221C,2022 to 2023,941.54
Jaquan,Grimes,AB939696C,2022 to 2023,246.51
Francisco,Reynolds,AB473714C,2022 to 2023,716.16
Angeline,Schuppe,AB291303C,2022 to 2023,233.83
Hermann,Keebler,AB823315C,2022 to 2023,838.62
Scotty,Kuhlman,AB228967C,2022 to 2023,238.15
Stefanie,Roob,AB396520C,2022 to 2023,603.28
Hosea,Rolfson,AB339505C,2022 to 2023,520.65
Janelle,Reichel,AB172362C,2022 to 2023,148.93
Georgette,Reichel,AB178310C,2022 to 2023,247.58
Ashley,Kunze,AB744894C,2022 to 2023,524.51
Kailyn,Larkin,AB175616C,2022 to 2023,562.44
Maggie,Stehr,AB848917C,2022 to 2023,691.75
Kiera,Connelly,AB282409C,2022 to 2023,756.28
Stevie,Krajcik,AB227787C,2022 to 2023,792.51
Erling,Kuvalis,AB647927C,2022 to 2023,207.93
Lucius,Gutkowski,AB763350C,2022 to 2023,548.51
Carissa,Kassulke,AB664007C,2022 to 2023,416.28
Armand,Lesch,AB435416C,2022 to 2023,539.25
Janet,Murray,AB168569C,2022 to 2023,5.74
Martine,Turner,AB671320C,2022 to 2023,392.18
Jonas,Runte,AB622306C,2022 to 2023,620.52
Annamarie,Labadie,AB958607C,2022 to 2023,831.62
Layla,Leuschke,AB991441C,2022 to 2023,302.02
Ashton,Lubowitz,AB453094C,2022 to 2023,891.34
Dallin,Schulist,AB834701C,2022 to 2023,553.78
Linda,Little,AB367275C,2022 to 2023,930.94
Amos,Green,AB420258C,2022 to 2023,942.35
Johnson,Rowe,AB656359C,2022 to 2023,141.45
Triston,Vandervort,AB982591C,2022 to 2023,499.83
Judd,Marvin,AB570939C,2022 to 2023,642.26
Estrella,Morissette,AB987196C,2022 to 2023,379.88
Elenora,Boyer,AB862881C,2022 to 2023,417.16
Arno,Satterfield,AB932349C,2022 to 2023,452.04
Kyler,Davis,AB106733C,2022 to 2023,426.82
Judah,Turner,AB229496C,2022 to 2023,512.86
Cora,Jacobs,AB208588C,2022 to 2023,921.11
Tina,Goyette,AB507144C,2022 to 2023,636.31
Ward,Becker,AB628379C,2022 to 2023,440.13
Rodger,Frami,AB515067C,2022 to 2023,626.33
Isac,Collins,AB382570C,2022 to 2023,244.29
Xzavier,O'Conner,AB767251C,2022 to 2023,309.22
Twila,Sanford,AB749819C,2022 to 2023,182.18
Emilie,Hauck,AB750387C,2022 to 2023,935.25
Bernhard,Stark,AB311770C,2022 to 2023,338.94
Ariane,Kuhic,AB461892C,2022 to 2023,482.38
Darby,Larson,AB189598C,2022 to 2023,476.94
Prudence,Witting,AB738528C,2022 to 2023,526.01
Rosamond,King,AB613428C,2022 to 2023,797.93
Santino,Nolan,AB162880C,2022 to 2023,382.38
Cathryn,Hilll,AB441673C,2022 to 2023,493.03
Ryley,Borer,AB958733C,2022 to 2023,666.04
Dejon,Breitenberg,AB692302C,2022 to 2023,329.95
Jared,Mante,AB402323C,2022 to 2023,794.84
Jewell,Smith,AB616766C,2022 to 2023,508.13
Lucinda,Senger,AB173697C,2022 to 2023,355.36
Demarco,Weber,AB571374C,2022 to 2023,85.41
Clark,Morar,AB764796C,2022 to 2023,791.48
Rahsaan,Reynolds,AB435798C,2022 to 2023,778.33
Josefa,Jacobson,AB354607C,2022 to 2023,520.49
Ian,McGlynn,AB777043C,2022 to 2023,488.25
Margret,Jenkins,AB585559C,2022 to 2023,61.43
Candice,Eichmann,AB492944C,2022 to 2023,737.68
Elbert,Leannon,AB102169C,2022 to 2023,428.07
Ernie,O'Connell,AB834548C,2022 to 2023,531.80
Erin,Sanford,AB849463C,2022 to 2023,427.34
Bridie,Krajcik,AB651668C,2022 to 2023,477.99
Rusty,O'Hara,AB796570C,2022 to 2023,24.32
Gail,Ward,AB568524C,2022 to 2023,828.28
Dion,Hodkiewicz,AB330896C,2022 to 2023,111.42
Michele,Legros,AB467824C,2022 to 2023,744.85
Ezequiel,Swaniawski,AB966251C,2022 to 2023,634.83
Angeline,Adams,AB450593C,2022 to 2023,810.64
Vita,Carroll,AB589624C,2022 to 2023,917.00
Ian,Flatley,AB437838C,2022 to 2023,117.83
Lupe,Torp,AB310307C,2022 to 2023,439.01
Bret,Halvorson,AB854130C,2022 to 2023,480.22
Reva,Blick,AB848459C,2022 to 2023,404.63
Delores,Dach,AB989127C,2022 to 2023,387.05
Laney,Crist,AB933601C,2022 to 2023,46.99
Jany,Abbott,AB233038C,2022 to 2023,488.96
Hellen,Adams,AB507155C,2022 to 2023,75.03
Aileen,Waters,AB142437C,2022 to 2023,110.26
Wilfredo,Macejkovic,AB802453C,2022 to 2023,819.01
Ernestina,Medhurst,AB193652C,2022 to 2023,423.26
Mellie,Corwin,AB668435C,2022 to 2023,888.66
Wilburn,Oberbrunner,AB394681C,2022 to 2023,737.63
Jettie,Gerlach,AB118575C,2022 to 2023,617.31
Elijah,Hudson,AB376377C,2022 to 2023,584.94
Zack,Hintz,AB609918C,2022 to 2023,764.44
Reagan,Bruen,AB197793C,2022 to 2023,623.65
Andrew,Dietrich,AB108281C,2022 to 2023,499.85
Ayden,Schaden,AB263261C,2022 to 2023,117.40
Darlene,Simonis,AB313336C,2022 to 2023,429.21
Katrina,Klocko,AB217790C,2022 to 2023,768.85
Karley,Senger,AB967800C,2022 to 2023,63.34
Raphaelle,Larkin,AB445557C,2022 to 2023,749.01
Linwood,Crooks,AB932519C,2022 to 2023,338.76
Gregorio,Feest,AB904887C,2022 to 2023,776.71
Jena,McClure,AB705015C,2022 to 2023,916.47
Diego,Ritchie,AB974527C,2022 to 2023,725.00
Reymundo,Kunde,AB202490C,2022 to 2023,759.23
Meghan,Kemmer,AB791714C,2022 to 2023,431.65
Arnulfo,Friesen,AB658275C,2022 to 2023,334.04
Jett,Crona,AB462120C,2022 to 2023,533.62
Chyna,Lueilwitz,AB850212C,2022 to 2023,949.24
Judah,Fritsch,AB649645C,2022 to 2023,376.63
Cristina,Trantow,AB683965C,2022 to 2023,768.91
Rae,Hackett,AB139347C,2022 to 2023,587.11
Benjamin,Wiza,AB239029C,2022 to 2023,283.46
Rene,Tillman,AB381967C,2022 to 2023,564.25
Josiah,Muller,AB589542C,2022 to 2023,354.41
Lindsey,Kuhlman,AB403898C,2022 to 2023,151.50
Friedrich,Simonis,AB618943C,2022 to 2023,72.27
Milford,Sawayn,AB645275C,2022 to 2023,328.06
