First name,Last name,National Insurance number,Type of protection held for the crystallisation (see LTA certificate),Protection type reference,Total amount crystallised (£),Date the benefit was crystallised (XX/XX/XXXX)
Gene,Jakubowski,AB623425C,Individual protection 2016,31022573,521.29,2022-11-05
Theodore,Zemlak,AB861278C,Individual protection 2016,38940698,385.30,2022-11-03
Deangelo,Nolan,AB997187C,Fixed protection 2014,87587941,338.47,2022-11-02
Althea,Keeling,AB355379C,Individual protection 2014,93414799,845.84,2022-11-02
Scotty,Towne,AB627524C,Individual protection 2014,28596377,308.54,2022-11-04
Eugene,Satterfield,AB865771C,Enhanced protection,97619350,973.80,2022-11-01
Alena,Grimes,AB179622C,Enhanced protection,31173914,696.39,2022-11-03
Jayson,Bashirian,AB815174C,Individual protection 2014,89997898,531.02,2022-11-07
Christine,Abernathy,AB128888C,Individual protection 2014,50253909,978.02,2022-11-02
Destin,Willms,AB822021C,Fixed protection 2016,95248232,386.44,2022-11-03
Gregoria,Mueller,AB439772C,Enhanced lifetime allowance,36327457,927.71,2022-11-06
Cora,Wilkinson,AB690090C,Fixed protection 2014,10971393,68.62,2022-11-06
Zena,Runte,AB284332C,Enhanced lifetime allowance,89388121,461.00,2022-11-05
Jovan,Hettinger,AB829854C,Enhanced protection,91705321,538.16,2022-11-03
Rubye,Welch,AB977622C,Individual protection 2014,33222993,314.58,2022-11-05
Flavio,Flatley,AB679271C,Fixed protection,97717494,635.96,2022-11-08
Leonie,Ullrich,AB134591C,Individual protection 2014,47865798,116.03,2022-11-08
Dexter,Stokes,AB214470C,Enhanced lifetime allowance,35603290,667.30,2022-11-02
Makenzie,Lockman,AB921316C,Fixed protection,28076957,623.33,2022-11-08
Michaela,Klocko,AB943087C,Enhanced lifetime allowance,23534238,498.25,2022-11-01
Linwood,Williamson,AB627356C,Fixed protection,54604989,548.17,2022-11-02
Carmelo,Langworth,AB928806C,Fixed protection,32933621,18.43,2022-11-05
Foster,Abbott,AB945295C,Enhanced lifetime allowance,90776467,25.94,2022-11-03
Milford,Fritsch,AB507950C,Enhanced protection,36382051,919.48,2022-11-08
Zita,Leannon,AB639444C,Fixed protection 2014,96225927,131.69,2022-11-04
Samanta,Boyer,AB763451C,Fixed protection 2014,50876485,437.69,2022-11-03
Humberto,Rippin,AB652559C,Fixed protection 2016,99196562,441.48,2022-11-03
Chase,Jacobi,AB342030C,Fixed protection,80161026,363.86,2022-11-02
Hiram,Schmitt,AB897213C,Enhanced protection,61984936,778.41,2022-11-04
Beth,Howe,AB278108C,Fixed protection 2016,31457910,693.88,2022-11-08
Sage,Larson,AB646867C,Fixed protection,66134746,99.13,2022-11-04
Turner,Mueller,AB928492C,Individual protection 2014,22624688,786.37,2022-11-03
Andreane,Weissnat,AB320005C,Enhanced protection,49039367,211.58,2022-11-04
Tyreek,Langosh,AB253192C,Fixed protection 2014,58237913,272.40,2022-11-04
Cassidy,Balistreri,AB234061C,Enhanced protection,63624374,666.91,2022-11-07
Lorenz,Gislason,AB183075C,Fixed protection,73731046,757.70,2022-11-05
Andreane,Russel,AB100345C,Individual protection 2014,27112860,225.88,2022-11-02
Gabriella,Kreiger,AB215913C,Fixed protection 2016,29703872,401.51,2022-11-01
Verona,Cole,AB162149C,Individual protection 2016,21022599,909.48,2022-11-05
Luz,Larkin,AB916790C,Fixed protection,48850095,139.85,2022-11-02
Jamey,Schultz,AB355891C,Individual protection 2016,20834236,731.36,2022-11-07
Michel,Fahey,AB316211C,Fixed protection 2016,34879103,79.03,2022-11-06
Kory,Jacobson,AB651694C,Individual protection 2016,94755487,351.29,2022-11-08
Tyrel,Wilkinson,AB184055C,Fixed protection,57792946,341.66,2022-11-06
Leilani,Runte,AB951984C,Enhanced lifetime allowance,83319196,928.71,2022-11-06
Vicente,Spinka,AB705023C,Fixed protection,47594259,391.59,2022-11-02
Warren,Bahringer,AB174945C,Enhanced protection,27519662,876.25,2022-11-02
Kaia,Keebler,AB291303C,Individual protection 2016,32653309,263.29,2022-11-08
Kris,Haag,AB697296C,Individual protection 2016,17614126,212.97,2022-11-05
Diamond,Lang,AB762385C,Enhanced lifetime allowance,90945761,69.72,2022-11-07
Darby,Waelchi,AB637742C,Enhanced protection,50098830,340.02,2022-11-05
Van,Beahan,AB264626C,Fixed protection 2016,96733406,451.17,2022-11-07
Meredith,Heaney,AB256068C,Fixed protection 2014,97625470,338.18,2022-11-05
Everardo,West,AB359572C,Fixed protection,64521834,399.05,2022-11-01
Hugh,O'Hara,AB377800C,Individual protection 2014,59686033,437.57,2022-11-07
Elwin,Feest,AB478727C,Enhanced protection,80430997,483.55,2022-11-01
Alan,Terry,AB262970C,Enhanced protection,54300206,437.75,2022-11-04
Edwina,Balistreri,AB194478C,Enhanced lifetime allowance,92248183,729.98,2022-11-03
Wilhelmine,Cummerata,AB548193C,Fixed protection 2016,79674593,190.20,2022-11-03
Carson,Stiedemann,AB977918C,Fixed protection 2016,28647705,535.67,2022-11-02
Jay,Shields,AB881874C,Fixed protection,78696393,534.24,2022-11-04
Cassandre,Cormier,AB736668C,Enhanced protection,37520652,534.42,2022-11-08
Coty,Maggio,AB110425C,Enhanced lifetime allowance,65261162,33.77,2022-11-02
Rigoberto,Jones,AB790434C,Individual protection 2014,86240296,196.96,2022-11-05
Janis,Swift,AB335387C,Fixed protection,91697424,825.16,2022-11-03
Lazaro,Bergstrom,AB645725C,Individual protection 2014,82258624,328.47,2022-11-05
Meredith,Cummerata,AB814082C,Individual protection 2014,81840189,835.89,2022-11-04
Jakayla,Tremblay,AB466505C,Fixed protection,52691480,462.34,2022-11-03
Anderson,Flatley,AB718234C,Individual protection 2016,23765708,530.99,2022-11-04
Jaunita,Maggio,AB825522C,Fixed protection 2016,91668062,44.24,2022-11-02
Rico,Torphy,AB306347C,Enhanced protection,56109400,824.07,2022-11-01
Beaulah,Hintz,AB549650C,Fixed protection,58917459,604.23,2022-11-02
Okey,Cummings,AB115601C,Fixed protection 2016,88426756,160.93,2022-11-07
Nikki,Raynor,AB257084C,Fixed protection 2014,99532979,564.23,2022-11-06
Angie,Wehner,AB154673C,Fixed protection 2014,95184592,158.74,2022-11-03
Trevor,Hand,AB700216C,Enhanced protection,30872690,437.42,2022-11-07
Emerson,Luettgen,AB763164C,Fixed protection,36402644,834.02,2022-11-03
Antwon,Collins,AB843658C,Enhanced lifetime allowance,66319682,382.92,2022-11-05
Ted,Hettinger,AB181491C,Enhanced lifetime allowance,83487052,826.58,2022-11-02
Emmet,Kling,AB237495C,Individual protection 2014,13302743,611.50,2022-11-06
Vivienne,Baumbach,AB568811C,Fixed protection,56990706,925.35,2022-11-06
Arely,Glover,AB189771C,Fixed protection,44031438,449.24,2022-11-04
Destinee,Klocko,AB191848C,Enhanced lifetime allowance,64644588,353.88,2022-11-07
Aubree,Tromp,AB140100C,Enhanced protection,86274951,845.81,2022-11-06
Dashawn,Dickens,AB452711C,Enhanced lifetime allowance,72700769,135.90,2022-11-05
Faustino,Gutmann,AB693459C,Enhanced protection,82426514,236.51,2022-11-04
Brendan,Dicki,AB256547C,Individual protection 2016,66532701,399.36,2022-11-05
Annalise,Cremin,AB659970C,Enhanced lifetime allowance,50471187,250.80,2022-11-05
Jodie,Wolf,AB453366C,Fixed protection,60736832,335.72,2022-11-01
Brayan,Denesik,AB286504C,Enhanced lifetime allowance,42395625,920.51,2022-11-07
Alysson,Morar,AB905554C,Fixed protection,34066098,35.14,2022-11-05
Maryam,Frami,AB980780C,Fixed protection 2014,24906469,245.81,2022-11-01
Missouri,Mueller,AB559531C,Fixed protection,78435145,652.39,2022-11-02
Vernon,Hettinger,AB622174C,Individual protection 2016,79373467,744.38,2022-11-04
Brigitte,Watsica,AB395113C,Individual protection 2014,44832697,180.51,2022-11-08
Zena,Mayer,AB538652C,Individual protection 2016,25522964,512.86,2022-11-01
Karlee,Wolff,AB638725C,Fixed protection 2016,41115868,664.07,2022-11-08
Erika,Schmitt,AB584735C,Enhanced protection,13852688,168.36,2022-11-02
Lambert,Hartmann,AB357226C,Individual protection 2014,34908687,220.18,2022-11-05
Evan,Bruen,AB863824C,Enhanced lifetime allowance,84600109,756.78,2022-11-08
Lou,Watsica,AB514297C,Enhanced lifetime allowance,70901314,651.59,2022-11-03
Leann,Friesen,AB796714C,Fixed protection 2014,13727467,193.65,2022-11-05
Else,Swaniawski,AB321138C,Individual protection 2014,20099124,59.00,2022-11-07
Porter,Mante,AB669882C,Enhanced lifetime allowance,73224084,455.26,2022-11-08
Genoveva,Murazik,AB348207C,Fixed protection 2016,18998260,698.86,2022-11-04
Reece,McGlynn,AB726386C,Fixed protection,42707228,26.50,2022-11-04
Bobby,McCullough,AB955385C,Fixed protection 2016,44342359,707.83,2022-11-08
Ralph,Dicki,AB631658C,Enhanced lifetime allowance,42887227,608.08,2022-11-04
Joy,Carroll,AB746094C,Fixed protection,29473346,905.85,2022-11-03
Rasheed,Emard,AB225943C,Enhanced lifetime allowance,33455498,575.60,2022-11-06
Vernice,Hirthe,AB357409C,Fixed protection 2016,11038501,402.91,2022-11-01
Candida,Goyette,AB399386C,Enhanced protection,26049210,776.93,2022-11-04
Beulah,Mueller,AB945951C,Fixed protection,75543787,412.07,2022-11-03
Lexie,Koelpin,AB386411C,Enhanced lifetime allowance,22155859,242.66,2022-11-02
Emma,Witting,AB789949C,Fixed protection,74200734,398.48,2022-11-04
Frederique,Ebert,AB330951C,Fixed protection,25368868,525.98,2022-11-02
Christina,Grimes,AB297663C,Individual protection 2014,90326297,773.36,2022-11-06
Sister,Dicki,AB639801C,Fixed protection,36432280,930.87,2022-11-07
Kavon,Kuhlman,AB929476C,Fixed protection,10481852,129.53,2022-11-06
Mariam,O'Kon,AB631145C,Individual protection 2016,20787931,555.36,2022-11-06
Gia,Lemke,AB166626C,Fixed protection,87547881,191.65,2022-11-07
Jabari,Powlowski,AB326881C,Enhanced lifetime allowance,99181866,839.84,2022-11-03
Beverly,Klein,AB571313C,Individual protection 2014,65334734,498.66,2022-11-01
Summer,Kiehn,AB416575C,Enhanced lifetime allowance,26949150,420.98,2022-11-07
Lue,Lebsack,AB463703C,Enhanced protection,96848908,623.37,2022-11-04
Leanne,Hahn,AB530940C,Fixed protection,69100722,767.86,2022-11-05
Taylor,Stracke,AB386016C,Enhanced protection,94223614,573.11,2022-11-07
Elfrieda,Parker,AB471535C,Fixed protection,24566922,724.62,2022-11-05
Jerrell,Casper,AB895102C,Fixed protection 2014,29206994,764.24,2022-11-01
Jeanie,Cronin,AB225216C,Fixed protection 2016,24374130,182.11,2022-11-08
Arvid,West,AB484174C,Enhanced protection,23612215,463.62,2022-11-03
Abelardo,Boyer,AB514848C,Enhanced lifetime allowance,77730300,152.78,2022-11-08
Keegan,VonRueden,AB649478C,Fixed protection 2016,30686779,78.24,2022-11-07
Amie,Marquardt,AB971063C,Fixed protection 2014,87775970,484.04,2022-11-03
Lera,Funk,AB108896C,Enhanced protection,13842378,747.87,2022-11-04
Donnell,Wunsch,AB637901C,Fixed protection 2016,33562915,216.23,2022-11-06
Yasmeen,Kertzmann,AB540302C,Enhanced lifetime allowance,38132828,988.08,2022-11-06
Blanche,Orn,AB710627C,Fixed protection,34575982,715.77,2022-11-02
Reyna,Balistreri,AB194269C,Fixed protection 2014,81579091,547.13,2022-11-04
Otilia,O'Connell,AB102530C,Enhanced protection,12036471,857.30,2022-11-01
Elisabeth,Grady,AB115989C,Individual protection 2016,65103840,290.69,2022-11-01
Ashtyn,Bradtke,AB764253C,Individual protection 2014,12647856,204.19,2022-11-05
Rogers,Rohan,AB468173C,Fixed protection 2016,75923886,347.31,2022-11-06
Candace,Pfeffer,AB234383C,Fixed protection 2014,94752673,410.30,2022-11-04
Fae,Stehr,AB133058C,Fixed protection,58492842,854.21,2022-11-07
Priscilla,Lowe,AB286268C,Fixed protection,37367966,429.58,2022-11-01
Penelope,Von,AB462827C,Individual protection 2016,51014421,496.70,2022-11-07
Jerad,Feeney,AB149690C,Fixed protection,39548258,429.49,2022-11-01
Josie,McClure,AB136922C,Enhanced protection,58786723,74.82,2022-11-04
Roberta,Will,AB231351C,Individual protection 2014,23707776,763.28,2022-11-08
Devin,Labadie,AB273855C,Fixed protection 2014,11724182,687.68,2022-11-03
Kelsie,Kreiger,AB920542C,Enhanced protection,97506753,65.34,2022-11-05
Alfonso,Morar,AB136786C,Fixed protection,66439859,580.88,2022-11-08
Evie,Kutch,AB164978C,Individual protection 2014,15064144,229.08,2022-11-04
Osborne,Barrows,AB904569C,Enhanced protection,16790712,522.14,2022-11-03
Kayden,Huels,AB678685C,Fixed protection 2016,59895164,496.07,2022-11-03
Cleve,Gorczany,AB760026C,Enhanced lifetime allowance,22639571,476.75,2022-11-02
Berneice,Harvey,AB866780C,Fixed protection 2016,80326254,389.12,2022-11-04
Norval,Kohler,AB577383C,Fixed protection 2014,63908483,671.13,2022-11-08
Fatima,O'Kon,AB373312C,Enhanced protection,90860729,665.05,2022-11-01
Quinn,Grimes,AB134683C,Fixed protection,14394113,732.98,2022-11-01
Ronny,Shanahan,AB831490C,Enhanced lifetime allowance,11765326,734.80,2022-11-08
Braden,Reilly,AB130560C,Individual protection 2014,23728017,918.60,2022-11-06
Ashtyn,Waelchi,AB555559C,Fixed protection,99117845,600.28,2022-11-03
Christ,Wisoky,AB671893C,Individual protection 2014,21969888,67.24,2022-11-01
Shea,Reichert,AB529276C,Fixed protection 2016,62916204,711.54,2022-11-04
Guy,Jones,AB388057C,Fixed protection 2016,93370886,153.68,2022-11-07
Elmo,Hartmann,AB901735C,Individual protection 2016,21458373,444.11,2022-11-01
Reginald,Klein,AB630814C,Enhanced protection,27602250,517.62,2022-11-01
Abdiel,Schuster,AB320906C,Individual protection 2016,88638884,345.46,2022-11-06
Dario,Jacobi,AB880717C,Individual protection 2014,16491977,684.13,2022-11-06
Johnathan,Bogan,AB198508C,Individual protection 2016,22390959,665.98,2022-11-06
Kareem,Batz,AB718110C,Enhanced protection,90723966,695.14,2022-11-02
Jedediah,Abbott,AB338256C,Fixed protection 2016,25736475,236.67,2022-11-01
Easton,Schimmel,AB707642C,Fixed protection 2014,26255296,289.93,2022-11-08
Bridgette,Huel,AB776531C,Fixed protection,90535633,93.18,2022-11-05
Camron,Mertz,AB980159C,Fixed protection 2014,59964063,744.88,2022-11-02
Molly,Kuhn,AB189286C,Enhanced protection,92913255,331.39,2022-11-07
Mackenzie,Rolfson,AB633779C,Fixed protection 2016,46170405,815.82,2022-11-08
Glenna,Koepp,AB490119C,Individual protection 2014,64747317,41.49,2022-11-02
Isaiah,Skiles,AB730740C,Fixed protection 2014,14425216,945.63,2022-11-01
Don,Veum,AB885025C,Enhanced lifetime allowance,46438666,948.65,2022-11-05
Esperanza,Bogisich,AB470816C,Fixed protection 2016,21381166,45.04,2022-11-04
Nina,Hane,AB639588C,Enhanced protection,83348421,974.38,2022-11-05
Jon,Stanton,AB636559C,Fixed protection 2014,82713122,517.63,2022-11-05
Jaeden,Collier,AB756315C,Fixed protection 2014,15737666,705.28,2022-11-07
Kian,Weissnat,AB941008C,Enhanced protection,75828775,291.30,2022-11-02
Kaela,Reilly,AB785000C,Enhanced lifetime allowance,85325029,587.48,2022-11-08
Leanna,Emmerich,AB983280C,Individual protection 2014,35047756,195.02,2022-11-01
Renee,Will,AB386990C,Fixed protection,42967314,252.85,2022-11-03
Wyman,Prosacco,AB604891C,Enhanced lifetime allowance,21720442,178.50,2022-11-04
Osbaldo,Wuckert,AB845074C,Fixed protection,93242717,326.25,2022-11-02
Bill,Halvorson,AB740196C,Individual protection 2014,51850219,248.22,2022-11-01
Isabel,Howe,AB425475C,Fixed protection 2014,59112899,334.97,2022-11-07
Nathan,Pfannerstill,AB582570C,Fixed protection 2016,60551992,769.34,2022-11-06
Kiara,McKenzie,AB898588C,Enhanced lifetime allowance,35973238,449.26,2022-11-01
Roma,Gusikowski,AB598929C,Enhanced lifetime allowance,93420852,733.43,2022-11-07
Dan,Kovacek,AB960897C,Fixed protection 2016,92713256,607.09,2022-11-01
Karelle,Walker,AB369742C,Enhanced protection,10842028,83.20,2022-11-08
Abraham,Goodwin,AB976600C,Enhanced protection,30568214,647.77,2022-11-06
Layla,Schamberger,AB331904C,Enhanced protection,44039259,616.96,2022-11-03
Mack,Rodriguez,AB445108C,Fixed protection 2014,14368224,8.09,2022-11-03
Titus,Howe,AB694301C,Fixed protection 2014,91204413,363.36,2022-11-03
Ferne,Tremblay,AB956365C,Individual protection 2016,71650973,199.59,2022-11-04
Jesus,Streich,AB618937C,Enhanced lifetime allowance,79848073,645.63,2022-11-02
Verlie,Schroeder,AB414581C,Enhanced lifetime allowance,69305469,464.22,2022-11-08
Emerson,Bashirian,AB649867C,Fixed protection 2014,70982151,748.13,2022-11-03
Allie,Walsh,AB403616C,Individual protection 2014,69683184,159.01,2022-11-05
Newton,Watsica,AB512157C,Fixed protection 2016,35514319,641.56,2022-11-06
Meaghan,Beatty,AB544007C,Fixed protection 2016,35385403,307.85,2022-11-08
Kristoffer,Schaefer,AB102247C,Fixed protection,37215575,692.58,2022-11-05
Dovie,Hintz,AB193771C,Enhanced lifetime allowance,43846606,192.97,2022-11-02
Aditya,Schaefer,AB331185C,Fixed protection,56895666,526.63,2022-11-01
Jena,Hoppe,AB990860C,Fixed protection 2016,53808506,410.40,2022-11-06
Elena,West,AB433036C,Enhanced protection,39066313,47.34,2022-11-04
Margie,Kshlerin,AB202865C,Enhanced protection,33088654,119.06,2022-11-08
Oma,Hand,AB130930C,Fixed protection,37999492,34.03,2022-11-06
Hailee,Walter,AB513078C,Individual protection 2014,57403641,301.12,2022-11-05
Daniella,Rath,AB920243C,Enhanced lifetime allowance,52724463,563.34,2022-11-06
Emma,Olson,AB155701C,Individual protection 2016,80341336,117.51,2022-11-02
Audrey,Klocko,AB189622C,Fixed protection 2016,53837770,70.84,2022-11-08
Ottilie,Ziemann,AB443053C,Fixed protection 2014,49382342,367.31,2022-11-07
Juana,Huel,AB159821C,Enhanced protection,65910970,373.58,2022-11-02
Parker,Hettinger,AB457076C,Fixed protection 2016,59087435,348.69,2022-11-08
Jacques,Stamm,AB955581C,Enhanced lifetime allowance,83989374,106.75,2022-11-03
Scot,Windler,AB432566C,Individual protection 2016,69517325,200.54,2022-11-06
Herbert,Stoltenberg,AB854680C,Enhanced protection,60821476,274.34,2022-11-06
Jensen,Romaguera,AB909634C,Fixed protection 2016,68662866,747.10,2022-11-06
Madalyn,Moore,AB856190C,Fixed protection 2014,21273590,830.40,2022-11-03
Shaniya,Doyle,AB252315C,Enhanced protection,16545472,295.38,2022-11-04
Mateo,Kshlerin,AB818758C,Individual protection 2016,30846201,954.66,2022-11-01
Myrtie,Jewess,AB392961C,Fixed protection,85481359,157.37,2022-11-04
Salvador,Keeling,AB342096C,Individual protection 2016,31716779,894.02,2022-11-02
Mario,Larkin,AB431251C,Fixed protection 2014,24503005,420.23,2022-11-07
Vergie,O'Reilly,AB541311C,Individual protection 2014,45631563,816.73,2022-11-08
Wilton,Bergnaum,AB410969C,Fixed protection,51547813,453.70,2022-11-05
Brice,Balistreri,AB847127C,Fixed protection 2016,82726744,193.82,2022-11-02
Oswaldo,Gerlach,AB190311C,Enhanced lifetime allowance,66457712,92.71,2022-11-02
Agustina,Kessler,AB443999C,Enhanced protection,12664735,565.16,2022-11-08
Conor,Shanahan,AB469563C,Enhanced protection,60350945,970.44,2022-11-05
Alexa,Ullrich,AB739045C,Individual protection 2014,41974317,530.18,2022-11-01
Darrel,Kuvalis,AB449585C,Enhanced lifetime allowance,77909157,34.19,2022-11-07
Alden,Kautzer,AB188465C,Fixed protection,24144918,128.30,2022-11-02
Amy,Koepp,AB508882C,Enhanced lifetime allowance,29915513,861.73,2022-11-01
Archibald,Sawayn,AB553370C,Fixed protection 2014,36918072,145.87,2022-11-03
Sam,Hodkiewicz,AB166820C,Enhanced lifetime allowance,15257300,958.69,2022-11-07
Jarret,Corwin,AB527698C,Individual protection 2014,38319884,198.56,2022-11-02
Mia,Wintheiser,AB408848C,Fixed protection,94231013,824.00,2022-11-02
Louvenia,Turcotte,AB534307C,Fixed protection 2014,77876614,418.10,2022-11-07
Alfred,Ryan,AB648182C,Individual protection 2014,85804555,106.23,2022-11-03
Ralph,Bergstrom,AB203783C,Fixed protection 2016,31094361,502.12,2022-11-08
Dereck,McGlynn,AB617428C,Individual protection 2014,97977092,530.15,2022-11-04
Imelda,Senger,AB560998C,Fixed protection 2014,61276927,134.97,2022-11-08
Schuyler,Hirthe,AB411324C,Enhanced lifetime allowance,88668444,558.70,2022-11-02
Rosella,Gutkowski,AB147115C,Individual protection 2016,95205142,362.66,2022-11-06
Llewellyn,Bahringer,AB702885C,Enhanced lifetime allowance,22458811,534.27,2022-11-06
Gilda,Turcotte,AB322966C,Fixed protection 2016,52828698,622.44,2022-11-05
Royce,Oberbrunner,AB642946C,Enhanced lifetime allowance,98039027,682.93,2022-11-07
Eldridge,Ward,AB212853C,Enhanced lifetime allowance,44749156,78.40,2022-11-02
Bettie,Murphy,AB109268C,Individual protection 2016,37135710,993.34,2022-11-03
Clifford,Bartoletti,AB711392C,Fixed protection 2014,45209676,419.70,2022-11-03
Israel,Boehm,AB801332C,Fixed protection 2016,61269666,534.74,2022-11-06
Frankie,Grady,AB855965C,Fixed protection 2016,89112721,854.83,2022-11-05
Trystan,Wolf,AB970203C,Fixed protection 2014,33425611,486.04,2022-11-01
Cordelia,Klein,AB993762C,Fixed protection 2014,50161634,620.46,2022-11-01
Kyla,Lockman,AB783622C,Individual protection 2014,68372774,732.33,2022-11-01
Lilliana,Barton,AB744702C,Individual protection 2016,51650228,37.45,2022-11-06
Ron,Johns,AB137664C,Fixed protection,22207618,316.55,2022-11-02
Sylvester,Klocko,AB739232C,Fixed protection 2016,32655110,730.98,2022-11-04
Wilber,Miller,AB694402C,Enhanced lifetime allowance,96784730,91.56,2022-11-06
Aron,Fritsch,AB976812C,Enhanced protection,73236419,88.14,2022-11-01
Abraham,Fay,AB373767C,Individual protection 2014,62619949,580.30,2022-11-07
Roma,Kiehn,AB342552C,Enhanced lifetime allowance,20086633,853.26,2022-11-04
Destini,Howe,AB289544C,Fixed protection 2016,18805976,824.37,2022-11-06
Archibald,Fahey,AB540917C,Fixed protection 2014,43109292,64.98,2022-11-04
Daryl,Schultz,AB479874C,Enhanced lifetime allowance,75977508,689.39,2022-11-06
Clarissa,Gerhold,AB722267C,Enhanced protection,76785732,108.77,2022-11-07
Anabel,Rice,AB209439C,Enhanced protection,40142641,828.91,2022-11-03
Lydia,Braun,AB340997C,Fixed protection,32529859,101.61,2022-11-07
Donny,Keeling,AB523476C,Individual protection 2014,62102727,387.22,2022-11-08
Dell,DuBuque,AB913322C,Fixed protection,65933418,934.66,2022-11-05
Ashleigh,Medhurst,AB567016C,Fixed protection 2016,29630783,201.51,2022-11-04
Carmela,Shields,AB114460C,Fixed protection,86200231,698.46,2022-11-05
Darrick,Kozey,AB976849C,Individual protection 2016,76007449,25.79,2022-11-04
Jake,Will,AB943419C,Enhanced protection,50001059,409.51,2022-11-05
Hillard,Fahey,AB601941C,Enhanced lifetime allowance,95379505,140.73,2022-11-03
Ocie,Mohr,AB725216C,Fixed protection 2014,38998675,691.51,2022-11-02
Ivory,Hauck,AB367849C,Fixed protection 2014,52449511,225.50,2022-11-07
Yvonne,Mosciski,AB501717C,Enhanced protection,31429118,451.91,2022-11-03
Murl,Sauer,AB807101C,Fixed protection,93929375,657.40,2022-11-03
Dagmar,Weber,AB946812C,Fixed protection 2014,13071873,536.00,2022-11-08
Jamey,Reilly,AB809826C,Individual protection 2016,76975872,806.15,2022-11-01
Ally,Mraz,AB284128C,Enhanced protection,16875584,385.94,2022-11-08
Marie,Lowe,AB686606C,Fixed protection 2016,99324906,726.64,2022-11-06
Norberto,Thompson,AB167311C,Individual protection 2014,26772499,30.22,2022-11-08
Reese,Senger,AB260293C,Enhanced lifetime allowance,70239487,273.15,2022-11-07
Fredy,Goyette,AB967347C,Fixed protection 2014,18116575,351.09,2022-11-03
Aubrey,Russel,AB978676C,Individual protection 2016,33941149,234.22,2022-11-07
Marcia,Davis,AB436973C,Fixed protection 2014,76773020,571.93,2022-11-02
Josie,Romaguera,AB282825C,Fixed protection,83217957,713.54,2022-11-03
Tate,Wyman,AB663501C,Enhanced protection,90032691,1.80,2022-11-04
Anika,Mann,AB365163C,Enhanced lifetime allowance,34886745,56.46,2022-11-02
Esther,Muller,AB960485C,Fixed protection 2014,22390762,513.52,2022-11-07
Terrence,Mohr,AB330408C,Fixed protection 2016,87660597,236.65,2022-11-05
Colin,Satterfield,AB865195C,Fixed protection 2014,65808714,975.11,2022-11-07
Silas,Gulgowski,AB233823C,Fixed protection,25880762,875.67,2022-11-01
Dante,Walsh,AB482136C,Individual protection 2014,83191508,305.39,2022-11-04
Ara,Tromp,AB898106C,Individual protection 2014,48549024,683.64,2022-11-01
Elisa,Haley,AB319194C,Individual protection 2014,92573850,842.50,2022-11-05
Leanna,Krajcik,AB817156C,Individual protection 2014,78392908,266.52,2022-11-03
Lula,Barrows,AB212449C,Fixed protection 2016,11078241,448.13,2022-11-01
Linda,Kling,AB929110C,Enhanced lifetime allowance,10395285,606.34,2022-11-01
Efren,Grimes,AB923744C,Fixed protection 2016,55363268,470.99,2022-11-05
Maymie,Miller,AB952192C,Fixed protection 2014,58410975,473.38,2022-11-04
Elsa,Green,AB837669C,Fixed protection,62645260,98.76,2022-11-04
Darryl,King,AB584915C,Individual protection 2014,32822836,381.41,2022-11-04
Dorian,Heaney,AB771073C,Fixed protection 2016,52609172,462.69,2022-11-06
Margie,Pollich,AB767588C,Enhanced lifetime allowance,34899930,936.01,2022-11-06
Krystal,Oberbrunner,AB132702C,Enhanced protection,97327251,236.52,2022-11-07
Junior,Adams,AB565126C,Enhanced lifetime allowance,10273179,621.49,2022-11-04
Damaris,Tremblay,AB174703C,Individual protection 2014,40958498,291.39,2022-11-06
Giovanny,Nolan,AB670349C,Individual protection 2014,36228046,352.46,2022-11-01
Natalia,Nikolaus,AB479283C,Fixed protection 2014,24447022,973.70,2022-11-03
Cicero,Dicki,AB774534C,Enhanced lifetime allowance,23645675,344.77,2022-11-08
Chaz,Douglas,AB281671C,Fixed protection,66447235,511.79,2022-11-03
Pearlie,Moen,AB327359C,Enhanced lifetime allowance,27959277,423.69,2022-11-05
Antwan,Schamberger,AB989395C,Individual protection 2014,85129553,890.91,2022-11-03
Susana,Kirlin,AB359597C,Fixed protection,42473773,512.89,2022-11-01
Mariah,Auer,AB208367C,Fixed protection,75159713,428.45,2022-11-01
Schuyler,Kozey,AB287760C,Enhanced lifetime allowance,96630244,187.74,2022-11-03
Estel,Von,AB144147C,Fixed protection 2014,66686615,796.77,2022-11-04
Adam,Lockman,AB342375C,Fixed protection 2016,63240976,908.62,2022-11-01
Shanelle,Berge,AB412688C,Fixed protection 2014,77337367,882.54,2022-11-07
Magali,Baumbach,AB951697C,Fixed protection 2014,78713307,765.83,2022-11-02
Kelly,Goldner,AB774216C,Fixed protection 2014,23677231,542.50,2022-11-08
Hermina,Trantow,AB471926C,Enhanced protection,20551617,161.01,2022-11-08
Estrella,Mills,AB776293C,Enhanced lifetime allowance,71906455,215.12,2022-11-06
Ismael,Anderson,AB574869C,Enhanced protection,11058532,268.91,2022-11-06
Kavon,Hyatt,AB935108C,Fixed protection 2016,33753045,661.63,2022-11-01
Catherine,Treutel,AB900072C,Fixed protection 2014,51487202,108.44,2022-11-02
Sid,Keeling,AB203007C,Enhanced protection,77320923,284.31,2022-11-02
Hilton,Greenholt,AB773009C,Enhanced lifetime allowance,23680895,973.07,2022-11-01
Donny,Shields,AB206613C,Enhanced lifetime allowance,16381507,47.65,2022-11-04
