First name,Last name,National Insurance number,In which tax year was the annual allowance exceeded? (XXXX to XXXX),What is the total of the member's pension input amounts for all arrangements under the scheme in the tax year that the annual allowance was exceeded? (£)
Kariane,Goyette,AB376334C,2022 to 2023,49.66
Leon,Larkin,AB669859C,2022 to 2023,721.89
Elisa,Beatty,AB765970C,2022 to 2023,622.85
Woodrow,Denesik,AB205512C,2022 to 2023,300.32
Roslyn,Murphy,AB470434C,2022 to 2023,374.81
Kaela,Lowe,AB696990C,2022 to 2023,554.67
Juliet,Ankunding,AB466666C,2022 to 2023,680.16
Okey,Wolf,AB570722C,2022 to 2023,653.85
Coy,Marvin,AB981195C,2022 to 2023,261.88
Madisen,Schimmel,AB677524C,2022 to 2023,552.23
Ardith,Heidenreich,AB351930C,2022 to 2023,773.14
Cali,Frami,AB198433C,2022 to 2023,264.14
Savanah,Daugherty,AB637996C,2022 to 2023,216.08
Manuel,Mraz,AB439971C,2022 to 2023,608.67
Erik,Hermiston,AB325405C,2022 to 2023,160.35
Iva,Russel,AB704911C,2022 to 2023,929.95
Keely,Dietrich,AB791894C,2022 to 2023,107.22
Nona,Cartwright,AB555898C,2022 to 2023,155.35
Julio,Wehner,AB973062C,2022 to 2023,530.99
Flo,Bauch,AB333825C,2022 to 2023,282.64
Abagail,Collins,AB807331C,2022 to 2023,540.19
Alvera,Maggio,AB259738C,2022 to 2023,585.57
Myrtice,Schiller,AB972623C,2022 to 2023,602.09
Travon,Langworth,AB287122C,2022 to 2023,185.22
Lupe,Nitzsche,AB119788C,2022 to 2023,672.48
Vanessa,Blick,AB339258C,2022 to 2023,951.11
Tracy,Jenkins,AB467915C,2022 to 2023,484.51
Madge,Powlowski,AB821646C,2022 to 2023,184.06
Madie,Turcotte,AB785918C,2022 to 2023,179.39
Jamaal,Kovacek,AB400891C,2022 to 2023,988.26
Mohammed,Bernhard,AB242878C,2022 to 2023,962.98
Alexandria,Mertz,AB227631C,2022 to 2023,464.07
Cortez,Greenholt,AB473703C,2022 to 2023,661.32
Cayla,Lemke,AB505252C,2022 to 2023,742.42
Rocio,Wilderman,AB631108C,2022 to 2023,208.00
Agnes,Koss,AB252297C,2022 to 2023,769.19
Macie,Cruickshank,AB244725C,2022 to 2023,859.46
Jana,Wisoky,AB155088C,2022 to 2023,406.35
Baron,Collins,AB816199C,2022 to 2023,662.53
Kaylie,Rogahn,AB253557C,2022 to 2023,517.83
Eleazar,Hagenes,AB457428C,2022 to 2023,439.05
Meda,Abshire,AB447119C,2022 to 2023,807.85
Kieran,Haley,AB295224C,2022 to 2023,439.35
Oleta,Krajcik,AB566922C,2022 to 2023,417.38
Shanelle,Smith,AB242168C,2022 to 2023,265.56
Beulah,Pouros,AB110363C,2022 to 2023,810.87
Catharine,Borer,AB182836C,2022 to 2023,499.63
Muriel,Crist,AB209499C,2022 to 2023,426.84
Mason,Mosciski,AB537141C,2022 to 2023,548.04
Sharon,Pagac,AB827238C,2022 to 2023,962.24
Vicky,Legros,AB382274C,2022 to 2023,634.94
Brady,Eichmann,AB967150C,2022 to 2023,873.25
Corbin,Roob,AB986752C,2022 to 2023,861.63
Izaiah,Roob,AB127157C,2022 to 2023,455.98
Luella,Koelpin,AB458409C,2022 to 2023,9.51
Thelma,Rosenbaum,AB472311C,2022 to 2023,494.41
Tyshawn,Willms,AB712109C,2022 to 2023,155.77
Clair,Hauck,AB630112C,2022 to 2023,38.10
Karli,Medhurst,AB969022C,2022 to 2023,420.14
Tillman,Hagenes,AB636005C,2022 to 2023,670.51
Mittie,Nitzsche,AB233897C,2022 to 2023,298.06
Barrett,Hahn,AB827001C,2022 to 2023,143.57
Trinity,Hackett,AB716141C,2022 to 2023,428.50
Jackson,Schoen,AB490240C,2022 to 2023,524.73
Adonis,Hauck,AB968125C,2022 to 2023,592.78
Edwina,Sawayn,AB380393C,2022 to 2023,533.69
Neva,Labadie,AB834121C,2022 to 2023,689.44
Lamont,Schimmel,AB638734C,2022 to 2023,891.21
Hillary,Runte,AB157725C,2022 to 2023,654.12
Kiley,Robel,AB106840C,2022 to 2023,704.20
Gwen,Torphy,AB893542C,2022 to 2023,728.15
Ole,O'Keefe,AB334878C,2022 to 2023,282.92
Kareem,Jewess,AB817065C,2022 to 2023,830.58
Jo,Crona,AB990660C,2022 to 2023,947.46
Matilde,Kshlerin,AB874231C,2022 to 2023,817.31
Mia,Cummings,AB129019C,2022 to 2023,292.70
Mike,Reichel,AB783347C,2022 to 2023,676.65
Justice,Moen,AB726405C,2022 to 2023,792.86
Quinton,Schimmel,AB694602C,2022 to 2023,691.73
Gaylord,Bins,AB590962C,2022 to 2023,856.79
Catalina,Weimann,AB349383C,2022 to 2023,554.97
Elvie,Hammes,AB625090C,2022 to 2023,515.61
Brice,Emmerich,AB486846C,2022 to 2023,238.81
Griffin,McLaughlin,AB511406C,2022 to 2023,962.25
Alexandro,Ondricka,AB537062C,2022 to 2023,416.36
Salvador,Jacobson,AB624505C,2022 to 2023,726.30
Shayna,Rau,AB594018C,2022 to 2023,524.26
Madonna,Leuschke,AB691616C,2022 to 2023,573.39
Kasandra,Sanford,AB821233C,2022 to 2023,317.59
Mikel,Carter,AB412690C,2022 to 2023,336.94
Bernadine,Jewess,AB718206C,2022 to 2023,107.25
Melvin,Hessel,AB789951C,2022 to 2023,554.98
Ophelia,Wolf,AB566777C,2022 to 2023,158.01
Zachary,Smith,AB829683C,2022 to 2023,930.68
Lincoln,Wuckert,AB409634C,2022 to 2023,259.30
Missouri,Botsford,AB852498C,2022 to 2023,328.29
Christine,Lebsack,AB386204C,2022 to 2023,61.19
Gayle,Kertzmann,AB495915C,2022 to 2023,325.64
Zackery,Ebert,AB664946C,2022 to 2023,455.13
Schuyler,Rogahn,AB587592C,2022 to 2023,570.46
Benton,Leannon,AB800320C,2022 to 2023,478.71
Juliet,Wiegand,AB880009C,2022 to 2023,276.47
Cristina,Lang,AB440208C,2022 to 2023,81.86
Leone,Eichmann,AB813202C,2022 to 2023,946.17
Breanne,Fritsch,AB382544C,2022 to 2023,434.43
Jorge,Dooley,AB986544C,2022 to 2023,896.97
Eddie,Prohaska,AB739257C,2022 to 2023,818.16
Keith,Monahan,AB367904C,2022 to 2023,116.58
Tyrel,Heidenreich,AB841246C,2022 to 2023,213.45
Winifred,Treutel,AB535930C,2022 to 2023,79.90
Larissa,Cronin,AB696671C,2022 to 2023,144.20
Nola,Kemmer,AB745647C,2022 to 2023,618.97
Elmore,Bednar,AB853417C,2022 to 2023,995.85
Dax,Gusikowski,AB409330C,2022 to 2023,93.69
Lacy,Mann,AB858169C,2022 to 2023,909.22
Jose,D'Amore,AB647276C,2022 to 2023,480.97
Laurie,Hyatt,AB231191C,2022 to 2023,263.10
Tressie,Wisoky,AB603977C,2022 to 2023,140.20
Sydnie,Lindgren,AB301428C,2022 to 2023,919.44
Sarina,Cremin,AB138223C,2022 to 2023,98.69
Durward,Barton,AB678956C,2022 to 2023,228.92
Caleigh,Connelly,AB991046C,2022 to 2023,854.81
Pedro,Baumbach,AB578123C,2022 to 2023,134.54
Augustine,Murphy,AB672997C,2022 to 2023,269.13
Kathryne,Emmerich,AB806461C,2022 to 2023,916.11
Jeffery,Emard,AB652546C,2022 to 2023,802.72
Stanley,Bins,AB157273C,2022 to 2023,925.42
Davon,Torphy,AB135094C,2022 to 2023,191.94
Julian,Cummerata,AB914441C,2022 to 2023,636.89
Jannie,Davis,AB408175C,2022 to 2023,207.74
Roberta,Breitenberg,AB706860C,2022 to 2023,593.92
Ellis,Dickens,AB864097C,2022 to 2023,425.88
Ladarius,Wolf,AB637352C,2022 to 2023,729.54
Dorothea,Lehner,AB143111C,2022 to 2023,925.02
Gillian,Becker,AB950307C,2022 to 2023,311.65
Will,Orn,AB879876C,2022 to 2023,93.26
Merritt,Bode,AB735789C,2022 to 2023,373.21
Isabelle,Smitham,AB934051C,2022 to 2023,791.38
Laverne,Schultz,AB543086C,2022 to 2023,165.45
Lura,Koch,AB651649C,2022 to 2023,391.42
Annette,Beahan,AB790604C,2022 to 2023,728.17
Kristin,Littel,AB390674C,2022 to 2023,156.00
Kasandra,Wilderman,AB323923C,2022 to 2023,632.61
Joy,Kuphal,AB320475C,2022 to 2023,471.45
Eddie,Ortiz,AB107218C,2022 to 2023,424.68
Talia,Vandervort,AB163610C,2022 to 2023,427.50
Marlene,Murazik,AB148307C,2022 to 2023,575.43
Katrine,Bergnaum,AB712895C,2022 to 2023,291.25
Chasity,Kutch,AB830066C,2022 to 2023,854.18
Kari,Ankunding,AB546146C,2022 to 2023,980.06
Joana,Cassin,AB972304C,2022 to 2023,355.02
Susana,Abernathy,AB776903C,2022 to 2023,508.13
Nakia,Bauch,AB321757C,2022 to 2023,268.64
August,Aufderhar,AB532889C,2022 to 2023,609.24
Susie,Cormier,AB352734C,2022 to 2023,466.91
Janice,Gleichner,AB332437C,2022 to 2023,582.85
Simone,Anderson,AB830570C,2022 to 2023,60.28
Okey,Bahringer,AB279552C,2022 to 2023,506.17
Katelin,Beier,AB484016C,2022 to 2023,650.72
Chadrick,Grant,AB786572C,2022 to 2023,883.43
Wilmer,Dicki,AB212125C,2022 to 2023,3.28
Dell,Hyatt,AB441111C,2022 to 2023,137.04
Ewald,Vandervort,AB487537C,2022 to 2023,410.17
Murl,Cruickshank,AB691362C,2022 to 2023,898.63
Aurelia,Hamill,AB552769C,2022 to 2023,315.47
Brenda,Lockman,AB435156C,2022 to 2023,491.79
Franz,Kshlerin,AB801271C,2022 to 2023,21.64
Alan,Spinka,AB924990C,2022 to 2023,922.75
Hosea,Runolfsson,AB962170C,2022 to 2023,670.97
Wayne,Kuhlman,AB810583C,2022 to 2023,304.99
Michel,Schiller,AB714104C,2022 to 2023,45.67
Selena,Stanton,AB757008C,2022 to 2023,963.11
Emmanuel,Jerde,AB834112C,2022 to 2023,582.33
Drake,Toy,AB417044C,2022 to 2023,17.13
Elenor,Corwin,AB916018C,2022 to 2023,567.69
Domenick,Weimann,AB875179C,2022 to 2023,931.92
Carolyne,Wunsch,AB677438C,2022 to 2023,128.05
Katarina,Schultz,AB329542C,2022 to 2023,679.87
Angelica,Lebsack,AB100232C,2022 to 2023,68.74
Giuseppe,Stracke,AB846570C,2022 to 2023,524.57
Ubaldo,Hauck,AB484100C,2022 to 2023,246.21
Retta,Treutel,AB884612C,2022 to 2023,218.22
Mckenzie,Gutmann,AB100977C,2022 to 2023,600.26
Camryn,Swift,AB822867C,2022 to 2023,235.47
Dawn,Skiles,AB842827C,2022 to 2023,960.54
Erica,Fay,AB181172C,2022 to 2023,612.64
Ed,Sawayn,AB284057C,2022 to 2023,783.36
Rosina,Waelchi,AB871131C,2022 to 2023,500.00
Uriel,Kertzmann,AB854271C,2022 to 2023,109.99
Brent,Schoen,AB812989C,2022 to 2023,742.86
Rosanna,Torp,AB345989C,2022 to 2023,190.63
Bonnie,Lowe,AB671329C,2022 to 2023,613.15
Kasandra,Collier,AB982651C,2022 to 2023,419.05
Trisha,Cole,AB536024C,2022 to 2023,48.94
Orrin,Lind,AB370970C,2022 to 2023,668.89
Vivien,Ankunding,AB882808C,2022 to 2023,500.20
Noemie,Barton,AB848914C,2022 to 2023,852.65
Rebekah,Beier,AB979388C,2022 to 2023,714.49
Jaydon,Hayes,AB696735C,2022 to 2023,381.20
Jaime,Jerde,AB475061C,2022 to 2023,785.49
Floy,Carroll,AB867215C,2022 to 2023,903.44
Giovanna,O'Keefe,AB923738C,2022 to 2023,480.98
Grover,Lueilwitz,AB417639C,2022 to 2023,465.91
Abner,Gleason,AB855177C,2022 to 2023,693.64
Domenico,Bradtke,AB499892C,2022 to 2023,594.61
Luella,Bednar,AB187043C,2022 to 2023,222.19
Fausto,Farrell,AB119183C,2022 to 2023,949.75
Cynthia,Little,AB749940C,2022 to 2023,201.26
Meaghan,Schaden,AB428156C,2022 to 2023,621.00
Cordia,Simonis,AB477459C,2022 to 2023,884.83
Seth,Cormier,AB238085C,2022 to 2023,320.45
Danyka,Hettinger,AB403950C,2022 to 2023,374.84
Kaycee,Predovic,AB469197C,2022 to 2023,517.48
Charlene,White,AB323553C,2022 to 2023,325.85
Khalil,Gleason,AB326723C,2022 to 2023,359.31
Geo,Jaskolski,AB991534C,2022 to 2023,328.09
Lorine,Volkman,AB847539C,2022 to 2023,433.82
Gracie,O'Reilly,AB634511C,2022 to 2023,298.85
Allan,Gutkowski,AB754552C,2022 to 2023,763.71
Jewel,Kassulke,AB977619C,2022 to 2023,578.51
Coy,Effertz,AB399433C,2022 to 2023,598.21
Mark,Heidenreich,AB987786C,2022 to 2023,81.19
Felicita,Swaniawski,AB524530C,2022 to 2023,937.88
Loyal,Ebert,AB210322C,2022 to 2023,311.35
Arch,Blanda,AB931724C,2022 to 2023,541.33
Lempi,Block,AB867048C,2022 to 2023,313.65
Dewitt,Gaylord,AB803560C,2022 to 2023,214.51
Luther,Wolf,AB602686C,2022 to 2023,774.88
Mozelle,Jaskolski,AB727580C,2022 to 2023,814.29
Eveline,Mohr,AB882902C,2022 to 2023,256.34
Marley,Wisoky,AB494528C,2022 to 2023,712.54
Greg,Zboncak,AB278765C,2022 to 2023,163.70
Martina,Schmeler,AB854116C,2022 to 2023,524.24
Kurtis,Armstrong,AB439982C,2022 to 2023,551.54
Earnestine,Trantow,AB370079C,2022 to 2023,816.17
Deangelo,Pfeffer,AB699155C,2022 to 2023,714.44
Ethel,Waelchi,AB936601C,2022 to 2023,808.18
Urban,Larson,AB790381C,2022 to 2023,269.85
Emanuel,Predovic,AB727012C,2022 to 2023,260.45
Lisandro,Stark,AB415994C,2022 to 2023,162.65
Luis,Rath,AB193792C,2022 to 2023,910.05
Abigayle,Luettgen,AB752916C,2022 to 2023,795.22
Adonis,Kunde,AB105831C,2022 to 2023,261.83
Filomena,Schuster,AB536120C,2022 to 2023,443.53
Ashton,Bernier,AB390791C,2022 to 2023,854.77
Alysson,Schroeder,AB305080C,2022 to 2023,680.16
Rosamond,Little,AB379533C,2022 to 2023,800.10
Heather,Gerlach,AB244605C,2022 to 2023,298.74
Justice,Schowalter,AB388834C,2022 to 2023,170.58
Jonas,Kohler,AB933132C,2022 to 2023,933.22
Connie,Price,AB296228C,2022 to 2023,515.91
Annabell,Jacobs,AB933078C,2022 to 2023,143.67
Jeffry,Runte,AB340716C,2022 to 2023,526.35
General,Koelpin,AB543778C,2022 to 2023,22.31
Woodrow,Wehner,AB743508C,2022 to 2023,475.04
Carmine,Buckridge,AB498397C,2022 to 2023,216.56
Vince,Kerluke,AB357410C,2022 to 2023,885.43
Raegan,Smitham,AB307692C,2022 to 2023,362.52
Henri,Jacobi,AB363514C,2022 to 2023,154.86
Julie,Smith,AB707662C,2022 to 2023,35.69
Alexandre,Morar,AB112098C,2022 to 2023,249.13
Doyle,Lindgren,AB447601C,2022 to 2023,910.24
Loraine,Kohler,AB533078C,2022 to 2023,698.47
Heath,Reilly,AB199663C,2022 to 2023,320.52
Itzel,Lueilwitz,AB826839C,2022 to 2023,902.06
Herta,Parker,AB134809C,2022 to 2023,937.71
Hubert,Johnston,AB140817C,2022 to 2023,819.12
Mylene,Auer,AB594926C,2022 to 2023,265.68
Maddison,Lindgren,AB891516C,2022 to 2023,404.13
Celestino,Hammes,AB997811C,2022 to 2023,882.12
Isom,Willms,AB511626C,2022 to 2023,668.48
Celestino,Cruickshank,AB641907C,2022 to 2023,989.43
Preston,Terry,AB705688C,2022 to 2023,21.03
Connie,Gusikowski,AB206253C,2022 to 2023,41.61
Avis,Gulgowski,AB699291C,2022 to 2023,835.26
Grace,Cassin,AB691935C,2022 to 2023,87.86
Isaiah,Barrows,AB778571C,2022 to 2023,54.51
Mabelle,Jaskolski,AB566969C,2022 to 2023,231.19
Virgil,Dibbert,AB831463C,2022 to 2023,677.54
David,Carter,AB524635C,2022 to 2023,43.37
Sarina,Walter,AB772639C,2022 to 2023,893.49
Giovani,Hodkiewicz,AB640246C,2022 to 2023,435.21
Denis,Rice,AB388411C,2022 to 2023,978.20
Helene,Goodwin,AB508029C,2022 to 2023,507.56
Cleora,Pfeffer,AB535462C,2022 to 2023,328.58
Helmer,Schmitt,AB280272C,2022 to 2023,491.91
Kelly,Reilly,AB287534C,2022 to 2023,298.48
Ozella,Brakus,AB495946C,2022 to 2023,427.84
Marvin,Prohaska,AB568912C,2022 to 2023,501.33
Braxton,Quigley,AB324122C,2022 to 2023,569.31
Sienna,Lesch,AB925751C,2022 to 2023,477.07
Brock,Wolf,AB287642C,2022 to 2023,28.79
Fabian,Harvey,AB188109C,2022 to 2023,458.85
Schuyler,Howe,AB500628C,2022 to 2023,443.52
Caleigh,Grady,AB773668C,2022 to 2023,605.78
Leonora,Kuvalis,AB934186C,2022 to 2023,962.17
Jerald,Herzog,AB733041C,2022 to 2023,787.84
Adalberto,Grimes,AB371338C,2022 to 2023,797.72
Enrique,Konopelski,AB333970C,2022 to 2023,250.85
Uriah,Rohan,AB457973C,2022 to 2023,134.16
Rosamond,Hoeger,AB285332C,2022 to 2023,958.59
Roman,Leannon,AB238049C,2022 to 2023,130.61
Kylie,Doyle,AB722398C,2022 to 2023,219.46
Margarita,Nader,AB912805C,2022 to 2023,839.42
Alyson,Lynch,AB129853C,2022 to 2023,358.91
Cathrine,Ferry,AB528890C,2022 to 2023,808.66
Ilene,Streich,AB114109C,2022 to 2023,984.50
Guy,Price,AB432925C,2022 to 2023,485.91
Amiya,West,AB552937C,2022 to 2023,890.14
Amina,Kutch,AB723803C,2022 to 2023,120.67
Jasmin,Beer,AB490230C,2022 to 2023,954.53
Shaylee,Torphy,AB391615C,2022 to 2023,14.67
Gilda,Pollich,AB512882C,2022 to 2023,897.18
Hadley,Schinner,AB714462C,2022 to 2023,249.46
Vivian,Goldner,AB388261C,2022 to 2023,365.68
Katlyn,Rosenbaum,AB990290C,2022 to 2023,542.04
Keith,VonRueden,AB267232C,2022 to 2023,198.51
Leif,Lueilwitz,AB263983C,2022 to 2023,3.04
Caden,Von,AB214494C,2022 to 2023,342.93
Tyree,Kuhic,AB691187C,2022 to 2023,950.78
Darion,White,AB210666C,2022 to 2023,914.52
Annamae,Crist,AB610323C,2022 to 2023,504.03
Assunta,Runolfsdottir,AB728163C,2022 to 2023,592.13
Earl,Schmitt,AB601676C,2022 to 2023,803.90
Dariana,Dooley,AB757965C,2022 to 2023,219.89
Liam,Gottlieb,AB379146C,2022 to 2023,567.27
Araceli,Rempel,AB713595C,2022 to 2023,845.43
Imogene,Olson,AB216054C,2022 to 2023,113.44
Simone,Bergnaum,AB218281C,2022 to 2023,39.10
Osbaldo,Mitchell,AB926611C,2022 to 2023,347.59
Lila,Mills,AB732337C,2022 to 2023,155.46
Stevie,DuBuque,AB542165C,2022 to 2023,885.00
Lloyd,Gerhold,AB317856C,2022 to 2023,318.00
Orland,Murazik,AB829292C,2022 to 2023,869.03
Ilene,Fahey,AB352229C,2022 to 2023,262.06
Chelsie,Rogahn,AB643055C,2022 to 2023,940.44
Margie,Dietrich,AB601279C,2022 to 2023,719.71
Mozelle,Kohler,AB532732C,2022 to 2023,489.41
Elvie,Gusikowski,AB109918C,2022 to 2023,955.83
Elisa,Barrows,AB964660C,2022 to 2023,952.53
Tyson,Beatty,AB548706C,2022 to 2023,276.70
Lennie,Abernathy,AB188534C,2022 to 2023,882.83
Raoul,Koch,AB114162C,2022 to 2023,149.17
Raheem,Ferry,AB263368C,2022 to 2023,134.09
Icie,Schuppe,AB577920C,2022 to 2023,252.12
Cordie,Herman,AB954527C,2022 to 2023,874.85
Mohammad,Ledner,AB227972C,2022 to 2023,799.77
Carolanne,Sauer,AB122358C,2022 to 2023,7.73
Chadd,Morar,AB569066C,2022 to 2023,244.48
Henderson,Kovacek,AB991992C,2022 to 2023,429.90
Ebba,Kunde,AB319744C,2022 to 2023,239.97
Tressie,Sporer,AB919781C,2022 to 2023,917.47
Solon,Reichert,AB667804C,2022 to 2023,661.56
Rogers,Kuhn,AB876297C,2022 to 2023,678.49
Alivia,Dach,AB899263C,2022 to 2023,688.06
Una,Bailey,AB547987C,2022 to 2023,410.82
King,Kuhlman,AB352152C,2022 to 2023,427.14
Aracely,Torphy,AB404440C,2022 to 2023,764.09
Virgie,Doyle,AB564012C,2022 to 2023,400.93
Jordon,Berge,AB119571C,2022 to 2023,485.18
Columbus,Trantow,AB854239C,2022 to 2023,708.22
Amber,Trantow,AB988462C,2022 to 2023,538.61
Heather,Grimes,AB971564C,2022 to 2023,137.24
Orlando,Halvorson,AB508330C,2022 to 2023,518.95
Rosalinda,Kerluke,AB549550C,2022 to 2023,796.12
Mattie,Morissette,AB399364C,2022 to 2023,970.18
Emely,Auer,AB211830C,2022 to 2023,51.77
Jadyn,Bashirian,AB142348C,2022 to 2023,440.09
Lysanne,Bernhard,AB388967C,2022 to 2023,582.50
Sylvester,Sipes,AB294632C,2022 to 2023,295.56
Lauretta,Feeney,AB680046C,2022 to 2023,899.23
Melvin,Padberg,AB491847C,2022 to 2023,643.46
Napoleon,Turner,AB550644C,2022 to 2023,745.51
Elliott,Graham,AB596156C,2022 to 2023,874.58
Hildegard,Pacocha,AB105602C,2022 to 2023,306.35
Kaylin,Hermiston,AB798502C,2022 to 2023,943.66
Maxie,Heaney,AB600648C,2022 to 2023,487.61
Leon,Kunze,AB268227C,2022 to 2023,612.12
Aylin,Howell,AB122307C,2022 to 2023,702.82
Ozella,Bechtelar,AB100360C,2022 to 2023,644.09
Valentine,Funk,AB106609C,2022 to 2023,825.53
Margret,Abernathy,AB811660C,2022 to 2023,526.79
Brooks,Miller,AB346657C,2022 to 2023,19.62
Rolando,Reichert,AB519666C,2022 to 2023,551.03
Vergie,Adams,AB575762C,2022 to 2023,249.79
Joseph,Volkman,AB587404C,2022 to 2023,897.13
Sylvester,Considine,AB668117C,2022 to 2023,465.88
Kylie,Denesik,AB701437C,2022 to 2023,765.64
Ari,Hilpert,AB319038C,2022 to 2023,638.06
Clarabelle,Stokes,AB319811C,2022 to 2023,455.97
Clement,Jacobi,AB238873C,2022 to 2023,328.33
Cornelius,Kub,AB144840C,2022 to 2023,805.62
Liza,Olson,AB387859C,2022 to 2023,842.53
Ron,Herzog,AB831346C,2022 to 2023,83.42
Elena,King,AB926629C,2022 to 2023,883.89
Helmer,Raynor,AB541458C,2022 to 2023,900.68
Elnora,Kuphal,AB154239C,2022 to 2023,40.85
Maudie,Balistreri,AB786062C,2022 to 2023,966.19
Lewis,Vandervort,AB932227C,2022 to 2023,846.21
Fernando,Conroy,AB155466C,2022 to 2023,29.66
Cydney,Kunze,AB664971C,2022 to 2023,102.33
Vladimir,Larson,AB626519C,2022 to 2023,226.91
Sedrick,Marks,AB170218C,2022 to 2023,881.72
Christopher,Ferry,AB845456C,2022 to 2023,241.66
Josh,Walker,AB958650C,2022 to 2023,755.05
Irving,Murphy,AB506134C,2022 to 2023,955.37
Ferne,Macejkovic,AB649209C,2022 to 2023,170.71
Fatima,Reichel,AB173329C,2022 to 2023,674.93
Norma,Vandervort,AB155018C,2022 to 2023,741.95
Gregorio,Runte,AB391049C,2022 to 2023,180.64
Hallie,Flatley,AB111303C,2022 to 2023,581.45
Cierra,Toy,AB984633C,2022 to 2023,495.34
Ilene,Hoeger,AB161832C,2022 to 2023,861.49
Frances,Tillman,AB362311C,2022 to 2023,304.27
Aaron,Mante,AB579392C,2022 to 2023,447.75
Elaina,Stehr,AB936119C,2022 to 2023,352.79
Muriel,Rogahn,AB798287C,2022 to 2023,323.12
Ari,Berge,AB325808C,2022 to 2023,576.77
Junior,Jakubowski,AB905493C,2022 to 2023,989.37
Deontae,Kulas,AB944435C,2022 to 2023,560.43
Jared,Kuhlman,AB419841C,2022 to 2023,326.55
Sydney,Bins,AB406213C,2022 to 2023,581.03
Hadley,O'Keefe,AB350903C,2022 to 2023,841.00
Marian,Senger,AB959401C,2022 to 2023,314.91
Joshuah,Padberg,AB225982C,2022 to 2023,888.10
Malvina,Willms,AB453787C,2022 to 2023,587.45
Norma,Lang,AB407153C,2022 to 2023,621.41
Miguel,Altenwerth,AB944999C,2022 to 2023,932.41
Kory,Krajcik,AB339439C,2022 to 2023,426.07
Lew,Rodriguez,AB824590C,2022 to 2023,259.86
Reymundo,Gislason,AB274680C,2022 to 2023,842.42
Jasper,Nienow,AB818266C,2022 to 2023,88.08
Sasha,Eichmann,AB306464C,2022 to 2023,619.11
Hosea,Schaefer,AB366357C,2022 to 2023,430.58
Emilia,Connelly,AB912518C,2022 to 2023,930.84
Elbert,Prohaska,AB274008C,2022 to 2023,848.33
Jenifer,Hyatt,AB943914C,2022 to 2023,180.04
Dejah,Rowe,AB703509C,2022 to 2023,206.11
Aracely,Ziemann,AB424826C,2022 to 2023,468.72
Yesenia,Reichel,AB541783C,2022 to 2023,697.04
Lambert,Maggio,AB388126C,2022 to 2023,251.16
Kylie,Kuhic,AB569376C,2022 to 2023,39.48
Keven,Spencer,AB779653C,2022 to 2023,751.63
Manuel,Hermann,AB814309C,2022 to 2023,605.34
Jessika,Gleichner,AB551927C,2022 to 2023,802.42
Jamison,Kshlerin,AB662058C,2022 to 2023,602.51
Bo,Collier,AB380771C,2022 to 2023,135.40
Cielo,Sanford,AB711537C,2022 to 2023,102.79
Adell,Reichel,AB723143C,2022 to 2023,829.07
Paris,Glover,AB351639C,2022 to 2023,861.12
Minerva,Dietrich,AB787395C,2022 to 2023,60.05
Brady,Schultz,AB112758C,2022 to 2023,840.49
Neva,Wisozk,AB867622C,2022 to 2023,801.96
Maximus,Grady,AB965069C,2022 to 2023,762.18
Gerda,Tromp,AB538328C,2022 to 2023,284.51
Delfina,Kihn,AB759843C,2022 to 2023,252.40
Olin,Boyle,AB811120C,2022 to 2023,415.35
Liana,Bartell,AB427016C,2022 to 2023,614.12
Bernadette,Terry,AB975664C,2022 to 2023,724.24
Randal,Gleason,AB838980C,2022 to 2023,679.62
Augustus,Jacobs,AB822514C,2022 to 2023,381.03
Dino,Ryan,AB448557C,2022 to 2023,919.62
Quinton,Stehr,AB976566C,2022 to 2023,460.95
Flossie,Gusikowski,AB114604C,2022 to 2023,387.74
Declan,Johnson,AB900051C,2022 to 2023,198.58
Spencer,Sauer,AB328129C,2022 to 2023,34.37
Jaeden,Halvorson,AB737201C,2022 to 2023,401.68
Kaylah,Will,AB479250C,2022 to 2023,794.85
Camilla,Koch,AB776969C,2022 to 2023,420.46
Dwight,Kreiger,AB562518C,2022 to 2023,196.42
Elyse,Schowalter,AB414151C,2022 to 2023,290.17
Neha,Schinner,AB186970C,2022 to 2023,621.30
Roberta,Crooks,AB145218C,2022 to 2023,121.02
Shania,Hauck,AB315818C,2022 to 2023,362.14
Sister,Torphy,AB742304C,2022 to 2023,746.42
Narciso,Graham,AB352642C,2022 to 2023,836.19
Gene,Thiel,AB549646C,2022 to 2023,412.02
Magnolia,Johnson,AB660894C,2022 to 2023,285.40
Jed,Brown,AB962104C,2022 to 2023,478.62
Celia,Cruickshank,AB283179C,2022 to 2023,821.12
Ena,Cummerata,AB169686C,2022 to 2023,294.43
Abbey,Mayert,AB400094C,2022 to 2023,125.18
Kareem,Sporer,AB999240C,2022 to 2023,401.62
Hassie,Miller,AB252272C,2022 to 2023,606.15
Loyal,Feest,AB945532C,2022 to 2023,227.58
Jacey,Greenfelder,AB946296C,2022 to 2023,988.01
Mekhi,Schinner,AB873906C,2022 to 2023,546.16
Burnice,Wiza,AB267717C,2022 to 2023,408.62
Bernardo,Wilkinson,AB943070C,2022 to 2023,824.31
Guiseppe,Feeney,AB297316C,2022 to 2023,907.44
Amber,Fadel,AB844312C,2022 to 2023,30.24
Murl,Effertz,AB946375C,2022 to 2023,953.54
Madisyn,Brown,AB743004C,2022 to 2023,114.98
Katrina,Bashirian,AB698654C,2022 to 2023,3.72
